episode,cycles,captures,final_L_root,final_time_s,final_time_h,events
1,107,8,8.130271084846864,85620.0,23.783333333333335,"{'none': 101, 'rain': 6}"
2,112,8,8.106371508107307,85800.0,23.833333333333332,"{'none': 78, 'extreme_heat': 34}"
3,106,8,8.143439451149401,85740.0,23.816666666666666,{'none': 106}
4,108,8,8.1325586767608,86100.0,23.916666666666668,{'none': 108}
5,113,8,8.1034904168554,86340.0,23.983333333333334,"{'none': 100, 'rain': 13}"
